Input,Training RMSE,Test RMSE,Time Taken
Full,17.31016026550329,22.576582563306985,874.9473333358765
PCA,17.34933049593867,21.750800740091517,889.0374004840851
Elastic,15.783284610630306,23.381707763789056,1027.708447933197
