Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Elovl6_74600,Elovl6,16.419,5.62E-02,1.1305,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Emc8_81923,Emc8,102.755,5.10E-02,-0.5860,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eme2_74486,Eme2,47.743,2.90E-03,0.9353,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eml1_68848,Eml1,237.463,2.19E-03,0.7222,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Emsy_70611,Emsy,53.850,3.28E-02,-0.9788,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eng_74576,Eng,1559.752,3.23E-02,0.6590,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eno1_79990,Eno1,357.180,3.96E-02,0.6028,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Entpd8_29407,Entpd8,9.025,3.62E-02,-1.8235,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ep400_77668,Ep400,40.628,5.20E-02,0.7391,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Epc1_78670,Epc1,93.385,2.78E-02,-0.6030,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ephb6_66860,Ephb6,20.664,1.33E-02,-1.4675,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ephx3_62307,Ephx3,22.601,3.96E-02,-1.2157,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Epop_61125,Epop,28.201,1.01E-02,1.1644,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Erap1_75895,Erap1,441.538,3.11E-03,-0.7103,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ercc6l2_64988,Ercc6l2,145.069,3.79E-02,-0.7258,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eri1_62265,Eri1,265.758,5.92E-04,-0.8980,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ero1l_29075,Ero1l,517.576,1.16E-03,-1.0941,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Erp29_67507,Erp29,49.822,9.93E-02,0.6674,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Esco1_77722,Esco1,362.353,3.11E-03,-1.1306,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Esd_67391,Esd,687.037,8.82E-03,0.6245,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Etfdh_54552,Etfdh,163.465,6.69E-02,0.7291,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ets1_31857,Ets1,211.837,1.29E-02,-0.6518,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Etv5_63450,Etv5,62.528,1.03E-02,1.1392,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Exoc1_67526,Exoc1,27.465,3.15E-02,-0.9156,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Exoc5_67736,Exoc5,472.087,3.53E-03,-0.9592,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Exoc6_60396,Exoc6,261.367,5.16E-02,-0.5890,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Exosc5_67683,Exosc5,132.514,6.44E-02,-0.6121,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Eya1_72147,Eya1,78.577,9.58E-02,-0.6018,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Faap20_73561,Faap20,13.649,3.65E-02,1.1508,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fabp3_76165,Fabp3,6156.160,5.64E-02,1.2641,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam107b_77862,Fam107b,328.612,1.30E-03,-0.8022,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam122b_65782,Fam122b,48.002,5.20E-02,-0.6692,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam151b_54548,Fam151b,116.301,8.32E-03,-0.6964,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam189a2_61945,Fam189a2,1036.032,4.09E-02,-0.6729,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam206a_77122,Fam206a,144.849,9.17E-03,-0.7022,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam214a_60461,Fam214a,588.784,3.62E-02,-0.5957,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam227a_61881,Fam227a,20.354,8.88E-02,-0.9143,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam241b_53836,Fam241b,15.006,9.15E-02,-0.9771,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam3c_82261,Fam3c,244.114,5.24E-02,-0.6449,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam53b_64280,Fam53b,76.415,1.28E-02,0.6697,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam69a_64595,Fam69a,21.154,2.40E-02,-1.1129,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam76b_71997,Fam76b,13.233,5.83E-03,-1.9484,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam83h_59213,Fam83h,9.623,4.52E-02,1.1767,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam92a_76171,Fam92a,146.303,1.94E-02,-1.1026,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam96a_62772,Fam96a,481.313,8.81E-02,-0.7604,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fancl_74412,Fancl,239.697,1.12E-02,-0.6810,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Far1_65528,Far1,340.925,5.39E-03,-0.6890,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Farsa_64111,Farsa,40.165,1.25E-02,0.9783,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fas_71532,Fas,106.306,8.75E-02,0.6733,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fastkd5_63590,Fastkd5,20.122,3.12E-02,-1.0762,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fblim1_67547,Fblim1,280.706,1.02E-03,1.1029,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbln2_78638,Fbln2,17.296,7.41E-02,1.0733,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxl21_80305,Fbxl21,25.281,1.98E-02,-1.0820,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxl3_71561,Fbxl3,92.331,9.81E-02,-0.6821,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxo11_29575,Fbxo11,109.513,1.22E-03,0.9560,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxo11_72686,Fbxo11,2357.937,4.66E-08,-0.8227,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxo8_67408,Fbxo8,316.001,2.65E-04,-0.9237,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fbxw5_74721,Fbxw5,27.519,5.65E-02,0.8247,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fcf1_77936,Fcf1,363.876,4.71E-02,-0.7124,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fcho2_68470,Fcho2,429.542,3.63E-02,-0.6986,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fchsd2_68301,Fchsd2,1381.308,2.91E-03,-0.6747,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fdx1_68016,Fdx1,1730.509,8.46E-02,-0.6796,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fech_61669,Fech,1143.466,1.61E-02,-0.7271,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fgfr2_75856,Fgfr2,149.516,6.70E-04,0.7191,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fh1_70377,Fh1,490.610,6.12E-04,0.7677,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fhl1_80651,Fhl1,140.755,1.55E-02,0.7069,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fkbp3_78517,Fkbp3,259.880,4.79E-03,-0.8830,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Flna_73227,Flna,180.160,2.36E-02,0.7363,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Flot2_73523,Flot2,29.392,3.10E-03,1.0476,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Flt4_59691,Flt4,39.272,4.95E-02,0.7869,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fmnl2_58132,Fmnl2,511.749,4.21E-03,-0.8367,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fmo1_31698,Fmo1,34.339,6.94E-02,-0.6655,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fmo1_75937,Fmo1,2685.830,4.54E-02,-0.6491,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fndc4_80320,Fndc4,19.768,5.16E-02,0.9952,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fntb_58406,Fntb,86.917,3.41E-05,1.1601,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fosl1_30439,Fosl1,15.232,2.56E-03,2.7670,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Foxo4_29577,Foxo4,273.479,1.43E-02,-0.6084,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Foxp1_70321,Foxp1,90.048,6.66E-02,-0.8570,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Foxp1_71179,Foxp1,275.201,6.57E-03,-0.7114,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fpr1_72651,Fpr1,68.839,9.66E-02,-1.4904,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Frs2_74496,Frs2,38.972,1.56E-02,-1.0237,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fscn1_74998,Fscn1,48.093,3.78E-02,0.9235,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fstl1_57673,Fstl1,358.413,5.61E-02,0.6400,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ftl1-ps1_80400,Ftl1-ps1,206.722,7.37E-02,0.6431,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fto_65112,Fto,19.776,7.17E-02,1.0038,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fut8_54310,Fut8,215.899,4.93E-02,-0.6190,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fzd4_61269,Fzd4,439.842,8.89E-02,-0.6181,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fzd5_54141,Fzd5,45.242,2.81E-02,0.7426,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,G6pdx_31137,G6pdx,123.346,2.99E-02,0.6092,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gabpb1_73071,Gabpb1,269.221,1.29E-02,-0.6551,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Galnt16_69834,Galnt16,23.429,8.88E-02,1.0571,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Galnt5_63601,Galnt5,77.553,3.62E-02,-0.9303,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gap43_29676,Gap43,41.859,4.35E-02,-1.1151,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gap43_70845,Gap43,35.903,3.93E-03,-1.6481,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gart_31895,Gart,37.792,7.67E-02,0.6297,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gas2l3_80831,Gas2l3,23.573,8.78E-02,0.8541,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gatad2a_73836,Gatad2a,78.761,5.74E-03,0.8105,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gcc2_68251,Gcc2,49.017,9.63E-02,-0.6191,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gch1_54668,Gch1,146.958,6.91E-02,0.6111,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gclm_29258,Gclm,99.075,8.06E-06,1.0493,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gclm_74540,Gclm,99.117,2.04E-03,0.8079,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gdpd2_59601,Gdpd2,62.234,2.64E-02,-1.3725,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gfpt1_67746,Gfpt1,289.618,3.27E-04,-0.9445,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gga3_66141,Gga3,76.088,3.03E-02,0.6891,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ggcx_76575,Ggcx,149.654,4.58E-02,-0.6300,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ghr_29091,Ghr,679.292,4.51E-03,-0.6054,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gid8_60062,Gid8,25.539,2.50E-02,-1.0144,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gimap4_76043,Gimap4,245.398,3.16E-02,-0.6755,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gimap6_32097,Gimap6,384.733,8.90E-03,-0.9523,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gja1_75237,Gja1,2391.472,7.26E-03,0.6238,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gja4_54447,Gja4,26.075,4.11E-02,1.0756,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Glod4_65415,Glod4,505.636,1.39E-03,-0.7864,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gls_76009,Gls,999.569,2.59E-03,-0.8968,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Glt28d2_64092,Glt28d2,28.330,7.09E-02,-0.7705,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Glyr1_61729,Glyr1,274.139,1.15E-02,-0.7048,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm13212_64546,Gm13212,116.352,1.29E-03,-1.2837,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm13889_55024,Gm13889,89.967,5.95E-04,1.6904,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm14418_66143,Gm14418,168.787,7.87E-02,-0.8877,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm14698_64475,Gm14698,377.355,3.57E-02,-0.6772,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm15448_82247,Gm15448,52.076,6.94E-02,-2.0812,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm2026_68078,Gm2026,178.997,7.25E-02,-0.9017,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm21190_82342,Gm21190,17.607,7.79E-02,-1.6059,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm21897_82310,Gm21897,36.534,8.73E-02,-1.0375,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm3150_31169,Gm3150,995.097,8.08E-06,-1.3109,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm43518_64887,Gm43518,45.983,9.34E-02,-0.7640,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm49358_76044,Gm49358,161.590,6.62E-02,-0.7159,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm49369_77548,Gm49369,957.014,4.98E-02,-0.5980,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm5431_66874,Gm5431,95.895,4.73E-02,-0.7735,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm5662_75441,Gm5662,17.927,6.62E-02,0.9729,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm5737_59680,Gm5737,9.024,5.82E-02,-1.4900,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm7102_72019,Gm7102,260.393,1.83E-03,-0.8685,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm8797_74256,Gm8797,1036.949,1.35E-03,0.7602,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm9790_30827,Gm9790,164.536,7.67E-02,-0.7456,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gna11_31226,Gna11,25.366,7.17E-02,0.7871,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gnai2_30647,Gnai2,431.199,3.53E-02,0.6712,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gnb1_31217,Gnb1,244.010,8.92E-03,-0.7146,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gne_77251,Gne,82.230,4.30E-02,-0.8318,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gng11_55923,Gng11,1429.058,6.94E-05,-1.1078,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gngt2_60070,Gngt2,162.393,4.11E-02,-0.8462,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gnl1_58119,Gnl1,51.235,2.73E-05,1.2640,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Golga4_73736,Golga4,958.864,8.88E-03,-0.6372,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Golga7_64303,Golga7,648.808,9.22E-05,-0.9060,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Got1_29697,Got1,124.551,5.20E-02,0.7972,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpat3_72962,Gpat3,272.925,1.09E-03,-0.8577,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpc1_58802,Gpc1,517.863,1.98E-04,1.3707,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpc3_60688,Gpc3,1017.357,6.85E-03,-1.0848,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpm6a_60107,Gpm6a,242.378,5.86E-02,-1.0168,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpr107_70407,Gpr107,21.148,6.79E-02,-0.8582,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpr137c_54387,Gpr137c,36.377,8.37E-02,-0.9216,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpr19_69624,Gpr19,18.926,7.42E-02,-0.7777,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpr89_65677,Gpr89,39.384,5.33E-02,-0.7723,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpx1_30525,Gpx1,25.233,4.79E-03,-1.3711,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpx4_32041,Gpx4,2404.852,6.88E-02,-0.6550,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gramd1a_63402,Gramd1a,85.373,8.45E-04,0.8316,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Grip1_75491,Grip1,30.002,8.17E-02,-0.9488,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Grrp1_59421,Grrp1,73.771,2.85E-03,1.1601,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gsn_79720,Gsn,1113.743,2.47E-02,0.7170,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gsta1_31374,Gsta1,14.857,9.61E-02,1.2651,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gsto1_54693,Gsto1,383.170,9.34E-02,0.9082,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gstp1_64006,Gstp1,613.781,1.37E-03,0.9527,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gstp2_77221,Gstp2,37.805,6.31E-02,0.9244,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gtf2a1_81875,Gtf2a1,159.505,1.54E-02,-0.6843,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gtf2h4_76405,Gtf2h4,22.134,8.03E-02,0.8818,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gtf3c5_73190,Gtf3c5,70.533,1.50E-02,-0.6466,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gucy1a2_57806,Gucy1a2,293.613,3.58E-02,-0.6618,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gulp1_29299,Gulp1,398.120,1.28E-03,-1.1686,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gusb_67859,Gusb,50.829,7.52E-03,0.8965,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gusb_77601,Gusb,65.262,2.05E-02,-0.6639,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,H2-DMb1_62387,H2-DMb1,248.777,4.94E-02,0.7230,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,H2-Q10_64912,H2-Q10,48.955,7.77E-02,0.8023,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hacd3_30807,Hacd3,381.541,2.90E-03,-0.5856,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hace1_74230,Hace1,52.359,3.93E-02,-0.7912,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hacl1_65626,Hacl1,136.783,7.09E-03,-0.6188,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hax1_73688,Hax1,47.249,3.89E-02,0.6819,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hbegf_57532,Hbegf,324.034,1.56E-02,0.7111,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hbp1_60816,Hbp1,206.899,5.19E-03,-0.9966,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hcfc2_75040,Hcfc2,149.154,2.44E-02,-0.6303,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hdac11_65498,Hdac11,117.158,8.40E-02,-0.7580,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hdac8_70828,Hdac8,419.503,3.93E-03,-0.7244,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Herc6_30292,Herc6,562.683,6.59E-02,-0.7183,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hgf_60131,Hgf,112.315,6.85E-03,0.7082,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hif1an_60450,Hif1an,172.497,7.89E-02,-0.7159,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hint3_54352,Hint3,710.921,5.97E-03,-1.4066,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hist1h2bg_30236,Hist1h2bg,335.259,6.94E-02,0.5965,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hist2h2ac_80585,Hist2h2ac,217.918,1.32E-04,0.9563,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hivep1_73170,Hivep1,1433.217,2.28E-02,-0.6277,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hmbs_31942,Hmbs,15.183,1.25E-02,1.1811,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hmgcll1_55548,Hmgcll1,107.465,6.23E-02,-0.7642,Yes,No,No
