Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,2700049A03Rik_59544,2700049A03Rik,42.644,8.10E-02,-0.6824,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,3110001I22Rik_68551,3110001I22Rik,11.051,4.68E-02,1.1037,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,3830406C13Rik_54237,3830406C13Rik,91.528,6.88E-02,-0.6358,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4833414E09RIK_29622,4833414E09RIK,404.168,4.71E-02,-0.6642,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4833420G17Rik_68308,4833420G17Rik,492.556,1.17E-02,-0.5871,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4921524J17Rik_80144,4921524J17Rik,177.708,1.29E-02,-0.6338,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4930402H24Rik_73246,4930402H24Rik,131.919,1.14E-02,-0.6735,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4930430F08Rik_65818,4930430F08Rik,66.407,3.33E-02,-0.9483,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4930451G09Rik_54045,4930451G09Rik,39.063,3.77E-02,-0.7944,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,4932438A13Rik_78786,4932438A13Rik,172.092,2.09E-04,-0.9232,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,5430427O19Rik_60267,5430427O19Rik,16.711,3.17E-02,-1.6006,Yes,Yes,Yes
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,A430005L14Rik_66210,A430005L14Rik,147.998,1.85E-02,-1.1068,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,A930002H24Rik_57620,A930002H24Rik,26.131,4.09E-02,0.9350,Yes,No,No
