<<<<<<< HEAD
complexity,loss,score,equation,sympy_format,lambda_format
1,23.640816,0.0,76.72918,76.7291800000000,PySRFunction(X=>76.7291800000000)
3,22.623602,0.021990506043506677,88.82391 + -5.234777,-5.234777 + 88.82391,PySRFunction(X=>-5.234777 + 88.82391)
5,18.82248,0.09197089871909504,94.98572 + (-1741.9535 / Silicon),94.98572 - 1741.9535/Silicon,PySRFunction(X=>94.98572 - 1741.9535/Silicon)
7,18.441696,0.010218856157367125,93.41828 - ((872.92456 + Isoeugenol) / Na),93.41828 - (Isoeugenol + 872.92456)/Na,PySRFunction(X=>93.41828 - (Isoeugenol + 872.92456)/Na)
9,17.72387,0.019850934622909013,((Isoeugenol / (Na + Isoeugenol)) * -37.89984) + 95.19768,Isoeugenol*(-37.89984)/(Isoeugenol + Na) + 95.19768,PySRFunction(X=>Isoeugenol*(-37.89984)/(Isoeugenol + Na) + 95.19768)
11,17.655804,0.001923875386117582,((-3.3472185 / ((6.9292974 / Isoeugenol) + 0.078110136)) + 96.357346) - 0.5723493,-1*0.5723493 + 96.357346 - 3.3472185/(0.078110136 + 6.9292974/Isoeugenol),PySRFunction(X=>-1*0.5723493 + 96.357346 - 3.3472185/(0.078110136 + 6.9292974/Isoeugenol))
13,17.61648,0.001114870142585514,(96.376236 + (3.2442274 / (-0.07467522 + (-6.7642007 / Isoeugenol)))) + (-0.9146167 / Isoeugenol),96.376236 + 3.2442274/(-0.07467522 - 6.7642007/Isoeugenol) - 0.9146167/Isoeugenol,PySRFunction(X=>96.376236 + 3.2442274/(-0.07467522 - 6.7642007/Isoeugenol) - 0.9146167/Isoeugenol)
15,17.18309,0.012454533439823388,(((Silicon - Isoeugenol) * 0.021017803) + (10.246367 * 7.3776493)) + (-1.910684 / (-1.5229621 + Isoeugenol)),(-Isoeugenol + Silicon)*0.021017803 + 10.246367*7.3776493 - 1.910684/(Isoeugenol - 1.5229621),PySRFunction(X=>(-Isoeugenol + Silicon)*0.021017803 + 10.246367*7.3776493 - 1.910684/(Isoeugenol - 1.5229621))
17,17.067835,0.0033650313101675606,((3.5793982 / ((-5.9051147 / Isoeugenol) + -0.08380529)) + 95.49848) - ((0.6020731 / (Na - Silicon)) * Na),-0.6020731*Na/(Na - Silicon) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol),PySRFunction(X=>-0.6020731*Na/(Na - Silicon) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol))
19,17.033241,0.0010144551411549274,((3.5793982 / ((-5.9051147 / Isoeugenol) + -0.08380529)) + (95.49848 - -0.2655168)) - ((0.9490842 / (Na - Silicon)) * Na),-0.9490842*Na/(Na - Silicon) - 1*(-0.2655168) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol),PySRFunction(X=>-0.9490842*Na/(Na - Silicon) - 1*(-0.2655168) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol))
=======
complexity,loss,score,equation,sympy_format,lambda_format
1,23.640816,0.0,76.72918,76.7291800000000,PySRFunction(X=>76.7291800000000)
3,22.623602,0.021990506043506677,88.82391 + -5.234777,-5.234777 + 88.82391,PySRFunction(X=>-5.234777 + 88.82391)
5,18.82248,0.09197089871909504,94.98572 + (-1741.9535 / Silicon),94.98572 - 1741.9535/Silicon,PySRFunction(X=>94.98572 - 1741.9535/Silicon)
7,18.441696,0.010218856157367125,93.41828 - ((872.92456 + Isoeugenol) / Na),93.41828 - (Isoeugenol + 872.92456)/Na,PySRFunction(X=>93.41828 - (Isoeugenol + 872.92456)/Na)
9,17.72387,0.019850934622909013,((Isoeugenol / (Na + Isoeugenol)) * -37.89984) + 95.19768,Isoeugenol*(-37.89984)/(Isoeugenol + Na) + 95.19768,PySRFunction(X=>Isoeugenol*(-37.89984)/(Isoeugenol + Na) + 95.19768)
11,17.655804,0.001923875386117582,((-3.3472185 / ((6.9292974 / Isoeugenol) + 0.078110136)) + 96.357346) - 0.5723493,-1*0.5723493 + 96.357346 - 3.3472185/(0.078110136 + 6.9292974/Isoeugenol),PySRFunction(X=>-1*0.5723493 + 96.357346 - 3.3472185/(0.078110136 + 6.9292974/Isoeugenol))
13,17.61648,0.001114870142585514,(96.376236 + (3.2442274 / (-0.07467522 + (-6.7642007 / Isoeugenol)))) + (-0.9146167 / Isoeugenol),96.376236 + 3.2442274/(-0.07467522 - 6.7642007/Isoeugenol) - 0.9146167/Isoeugenol,PySRFunction(X=>96.376236 + 3.2442274/(-0.07467522 - 6.7642007/Isoeugenol) - 0.9146167/Isoeugenol)
15,17.18309,0.012454533439823388,(((Silicon - Isoeugenol) * 0.021017803) + (10.246367 * 7.3776493)) + (-1.910684 / (-1.5229621 + Isoeugenol)),(-Isoeugenol + Silicon)*0.021017803 + 10.246367*7.3776493 - 1.910684/(Isoeugenol - 1.5229621),PySRFunction(X=>(-Isoeugenol + Silicon)*0.021017803 + 10.246367*7.3776493 - 1.910684/(Isoeugenol - 1.5229621))
17,17.067835,0.0033650313101675606,((3.5793982 / ((-5.9051147 / Isoeugenol) + -0.08380529)) + 95.49848) - ((0.6020731 / (Na - Silicon)) * Na),-0.6020731*Na/(Na - Silicon) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol),PySRFunction(X=>-0.6020731*Na/(Na - Silicon) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol))
19,17.033241,0.0010144551411549274,((3.5793982 / ((-5.9051147 / Isoeugenol) + -0.08380529)) + (95.49848 - -0.2655168)) - ((0.9490842 / (Na - Silicon)) * Na),-0.9490842*Na/(Na - Silicon) - 1*(-0.2655168) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol),PySRFunction(X=>-0.9490842*Na/(Na - Silicon) - 1*(-0.2655168) + 95.49848 + 3.5793982/(-0.08380529 - 5.9051147/Isoeugenol))
