Iteration,RMSE,Complexity,Equation
306,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
307,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
307,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
307,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
307,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
307,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
307,2.824152559602447,11,PySRFunction(X=>1.8426101*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
307,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
307,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
307,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
308,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
308,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
308,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
308,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
308,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
308,2.824152559602447,11,PySRFunction(X=>1.8426101*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
308,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
308,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
308,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
309,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
309,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
309,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
309,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
309,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
309,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
309,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
309,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
309,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
310,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
310,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
310,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
310,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
310,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
310,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
310,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
310,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
310,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
311,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
311,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
311,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
311,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
311,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
311,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
311,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
311,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
311,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
312,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
312,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
312,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
312,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
312,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
312,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
312,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
312,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
312,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
313,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
313,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
313,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
313,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
313,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
313,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
313,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
313,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
313,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
314,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
314,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
314,2.9736947815759516,5,PySRFunction(X=>-PC_1 + PC_2 + 83.58931)
314,2.9047763699625984,7,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.587975)
314,2.828523011552956,9,PySRFunction(X=>1.8426101*(-PC_1 + PC_2 + PC_3) - 1*(-83.58805))
314,2.822221217798221,11,PySRFunction(X=>1.9960225*(-PC_1/1.160527 + PC_2 + PC_3) - 1*(-83.58805))
314,2.820186283874958,13,PySRFunction(X=>-PC_1/0.64205223 + 2.0930495*(PC_2 + PC_3) + 0.6711446 + 82.91689)
314,2.8140034788740778,15,PySRFunction(X=>PC_2 + PC_2 + (PC_1 - PC_3)*(-1.445564) + 82.11251 - 0.9770464/PC_2)
314,2.791090049763828,17,PySRFunction(X=>((-PC_1 + PC_2 + PC_3)*2.8899398 - 1*(-122.10283))*0.6850411 + 2.845757/(PC_3 + 1.584597))
315,3.1189937847029845,1,PySRFunction(X=>83.5893250000000)
315,3.0503535922447873,3,PySRFunction(X=>83.587654 - PC_1)
