Input,Training RMSE,Test RMSE,Time Taken
Full,22.623604171540784,19.45109618305771,237.61217427253723
PCA,22.623603970036083,19.44970226389607,232.67139887809753
Elastic,22.623603970002453,19.449670875520187,248.62797689437866
