chem,sympy_equation,parital derivative w/ respect to chem,integrated_derivative,direction
Propylguaiacol,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol)**0.03889326 + 1.2519779,-2.62183561303738*(1.5867231**(0.495712336148484*P)/Propylguaiacol)**0.03889326/Propylguaiacol,-348.93445209029426,negative
Propylguaiacol,0.04264588*Mg/Pentadecane + 74.76269 - (Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene,-1/Fluoranthene,-3.7898553714539385,negative
Propylguaiacol,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,Error,Error,Error
Propylguaiacol,Cu - Propylguaiacol + 60.667508,-1,-1,negative
Propylguaiacol,Cu + Fluoranthene - Propylguaiacol + 60.667508,-1,-1,negative
Propylguaiacol,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,-1,-1,negative
Propylguaiacol,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,-2,-2,negative
Propylguaiacol,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.017299,Error,Error,Error
Propylguaiacol,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,Error,Error,Error
Propylguaiacol,Cu - Propylguaiacol + 60.667508,-1,-1,negative
Propylguaiacol,Cu + Fluoranthene - Propylguaiacol + 60.667508,-1,-1,negative
Propylguaiacol,79.3650851819327*(1/Propylguaiacol)**0.14585575 + 0.03960442,-11.5758540230247*(1/Propylguaiacol)**0.14585575/Propylguaiacol,-32.76742106976085,negative
Propylguaiacol,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,-1,-1,negative
Propylguaiacol,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,-2,-2,negative
Propylguaiacol,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.017299,Error,Error,Error
Cu,Cu + 60.667454,1,1,positive
Cu,Benzokfluoranthene + Cu - (Docosane/Zn)**Naphthalene + 61.184902,1,1,positive
Cu,Cu + 60.667454,1,1,positive
Cu,Cu + Fluoranthene + 60.667508,1,1,positive
Cu,Cu + Fluoranthene**2.0606148 + 60.667508,1,1,positive
Cu,Cu + 60.667454,1,1,positive
Cu,Cu + Fluoranthene + 60.667508,1,1,positive
Cu,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + 60.667454,1,1,positive
Cu,Cu - Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,1,1,positive
Cu,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + 60.667454,1,1,positive
Cu,Cu - Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + Fluoranthene - Propylguaiacol + 60.667508,1,1,positive
Cu,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,1,1,positive
Cu,Cu + Fluoranthene**(Heptadecane + 1.8194845) - 2*Propylguaiacol + 60.667508,1,1,positive
Mg,0.04264588*Mg/Pentadecane + 74.76269 - (Dibenzofuran - Pentadecane + Propylguaiacol - 0.14462063)/Fluoranthene,0.04264588/Pentadecane,0.16190769062328145,positive
P,67.3007754185049*(1.4266665**(4.97367649118936*P))**0.006777028,0.806086630034037*(1.4266665**(4.97367649118936*P))**0.006777028,38.97006636842523,positive
P,67.3007754185049*(1.4266665**(4.97367649118936*P - 0.4564907))**0.006777028,0.806086630034037*1.4266665**(0.4564907 - 4.97367649118936*P)*1.4266665**(4.97367649118936*P - 0.4564907)*(1.4266665**(4.97367649118936*P - 0.4564907))**0.006777028,38.9272501302223,positive
P,67.3007754185049*(1.4266665**(4.97367649118936*P)/Propylguaiacol)**0.006777028 - 2.0674,0.806086630034037*(1.4266665**(4.97367649118936*P)/Propylguaiacol)**0.006777028,262.0829229096477,positive
P,67.41105304717*(1.5867231**(0.561586110933481*P)/Propylguaiacol)**0.03889326 + 1.311942683,0.679758052623578*(1.5867231**(0.561586110933481*P)/Propylguaiacol)**0.03889326,204.2672467401988,positive
P,67.3007754185049*(1.4266665**(4.97367649118936*P))**0.006777028,0.806086630034037*(1.4266665**(4.97367649118936*P))**0.006777028,38.97006636842523,positive
P,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol)**0.03889326 + 1.2519779,0.60002276716151*(1.5867231**(0.495712336148484*P)/Propylguaiacol)**0.03889326,175.5483988641441,positive
P,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,Error,Error,Error
P,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.017299,Error,Error,Error
P,Fluoranthene + 67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.997929,Error,Error,Error
P,67.41105304717*(1.5867231**(0.495712336148484*P)/Propylguaiacol - 0.5409851)**0.03889326 + 2.017299,Error,Error,Error
Zn,Benzokfluoranthene + Cu - (Docosane/Zn)**Naphthalene + 61.184902,Naphthalene*(Docosane/Zn)**Naphthalene/Zn,3.589112150555284,positive
NH_4,-Guaiacol - 8.08211195877671*NH_4 + 8.08211195877671*Pyrene + 92.7914439915855,-8.08211195877671,-8.08211195877671,negative
PO_4,PO_4 + 81.52743,1,1,positive
PO_4,PO_4 + 81.52743,1,1,positive
PO_4,PO_4 + 81.52743,1,1,positive
PO_4,PO_4 + 81.52743,1,1,positive
PO_4,Fluoranthene/var35_Dimethoxyphenol + 6.7576672154343*PO_4**0.13090888 + 30.7086170934111*(Methylfluorene**Guaiacol)**Dibenzofuran + 54.1788477053618,0.884638646585222/PO_4**0.86909112,7.104199992028972,positive
SO_4,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,-1,-1,negative
SO_4,Cu + Fluoranthene**1.8194845 - Propylguaiacol - SO_4 + 60.667508,-1,-1,negative
