complexity,loss,score,equation,sympy_format,lambda_format
1,79.81014,0.0,Plscr_4_55764,Plscr_4_55764,PySRFunction(X=>Plscr_4_55764)
3,21.992418,0.6444764032293019,Acod_1_54942 - -79.67338,Acod_1_54942 - 1*(-79.67338),PySRFunction(X=>Acod_1_54942 - 1*(-79.67338))
5,19.47436,0.06079951451075611,(Mt_2_76492 * 12.393139) - 31.813025,Mt_2_76492*12.393139 - 1*31.813025,PySRFunction(X=>Mt_2_76492*12.393139 - 1*31.813025)
7,19.338717,0.0034947899705912457,((Mt_2_76492 * 11.934882) - 31.868841) + Rad_1_77614,Mt_2_76492*11.934882 + Rad_1_77614 - 1*31.868841,PySRFunction(X=>Mt_2_76492*11.934882 + Rad_1_77614 - 1*31.868841)
9,17.800892,0.04143029011460866,((11.996913 + Cyp_1_a_1_29719) * (-0.5792706 + Gdnf_29292)) + Myc_66507,Myc_66507 + (Cyp_1_a_1_29719 + 11.996913)*(Gdnf_29292 - 0.5792706),PySRFunction(X=>Myc_66507 + (Cyp_1_a_1_29719 + 11.996913)*(Gdnf_29292 - 0.5792706))
13,17.355095,0.006340611294104464,(((Fam_83_h_59213 * (Arf_1_31811 + (Ccl_7_30624 + Wnt_7_a_61150))) + Acod_1_54942) + Gm_3604_56243) + Acod_1_54942,Acod_1_54942 + Acod_1_54942 + Fam_83_h_59213*(Arf_1_31811 + Ccl_7_30624 + Wnt_7_a_61150) + Gm_3604_56243,PySRFunction(X=>Acod_1_54942 + Acod_1_54942 + Fam_83_h_59213*(Arf_1_31811 + Ccl_7_30624 + Wnt_7_a_61150) + Gm_3604_56243)
15,15.169677,0.06729381105777921,Cyp_1_a_1_29719 + (-10.199626 + (((Ifit_1_bl_1_54956 - (Rgs_22_79648 - 2.3455222)) + 9.353196) * (Bdkrb_2_54168 + Myc_30907))),Cyp_1_a_1_29719 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*2.3455222) + 9.353196) - 10.199626,PySRFunction(X=>Cyp_1_a_1_29719 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*2.3455222) + 9.353196) - 10.199626)
17,15.084198,0.0028253976542127824,Cyp_1_a_1_29719 + (-10.199626 + ((((Ifit_1_bl_1_54956 - (Rgs_22_79648 - 2.3455222)) + 0.3586767) + 9.353196) * (Bdkrb_2_54168 + Myc_30907))),Cyp_1_a_1_29719 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*2.3455222) + 0.3586767 + 9.353196) - 10.199626,PySRFunction(X=>Cyp_1_a_1_29719 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*2.3455222) + 0.3586767 + 9.353196) - 10.199626)
19,14.4572935,0.02122433904868355,(((((8.164782 + (Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1.505801))) * (Bdkrb_2_54168 + Myc_30907)) + March_3_58049) + Cyp_1_a_1_79654) - Gm_43302_29203) / 0.9178749,(Cyp_1_a_1_79654 - Gm_43302_29203 + March_3_58049 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*1.505801) + 8.164782))/0.9178749,PySRFunction(X=>(Cyp_1_a_1_79654 - Gm_43302_29203 + March_3_58049 + (Bdkrb_2_54168 + Myc_30907)*(Ifit_1_bl_1_54956 - (Rgs_22_79648 - 1*1.505801) + 8.164782))/0.9178749)
