Input,Training RMSE,Test RMSE,Time Taken
Full,17.819725733350612,18.01228735413435,50.044148445129395
PCA,17.81123423523057,20.1512673913572,43.20476675033569
Lasso,18.454526105164362,19.375762223581003,43.878350019454956
