Equation
2.15095*chem13 - 0.164493*chem14 + 15.5543*chem2 + 2.16628*chem5 + 12.1433*chem6 - 69.5316
2.15377*chem13 - 0.163786*chem14 + 15.5401*chem2 + 2.18301*chem5 + 12.1527*chem6 - 69.6174
2.14965*chem13 - 0.163487*chem14 + 15.5262*chem2 + 2.17892*chem5 + 12.1422*chem6 - 69.5043
2.14947*chem13 - 0.163963*chem14 + 15.5293*chem2 + 2.17433*chem5 + 12.1429*chem6 - 69.5213
2.14883*chem13 - 0.16368*chem14 + 15.5267*chem2 + 2.1762*chem5 + 12.1418*chem6 - 69.5063
2.14589*chem13 - 0.163814*chem14 + 15.5282*chem2 + 2.16965*chem5 + 12.1412*chem6 - 69.4869
2.153*chem13 - 0.163752*chem14 + 15.5324*chem2 + 2.18361*chem5 + 12.148*chem6 - 69.5782
2.1571*chem13 - 0.163789*chem14 + 15.538*chem2 + 2.19024*chem5 + 12.1552*chem6 - 69.6545
2.14783*chem13 - 0.163673*chem14 + 15.5262*chem2 + 2.17615*chem5 + 12.1421*chem6 - 69.5229
2.15305*chem13 - 0.163596*chem14 + 15.5246*chem2 + 2.18594*chem5 + 12.1468*chem6 - 69.555
