Equation
-0.197944*chem15 - 8.84349*chem2 - 214.33*log(-0.00549017*chem13 - 0.194137*chem2 - 0.0846666*chem6 + 2.83642) + 202.024
-6.49939*chem2 + 0.124541*chem8 - 199.326*log(-0.00370603*chem13 - 0.131872*chem2 - 0.0634937*chem6 + 1.98569) + 111.943
-4.66832*chem2 - 0.178709*chem5 - 190.629*log(-0.0178596*chem13 - 0.505453*chem2 - 0.265268*chem6 + 7.91734) + 369.455
0.727465*chem13 - 6.18942*chem2 + 0.237172*chem7 - 186.625*log(-0.257336*chem2 - 0.130125*chem6 + 3.82339) + 225.782
1.46512*chem12 - 6.31066*chem2 + 0.230134*chem8 - 183.398*log(-0.097174*chem2 - 0.0479701*chem6 + 1.40559) + 37.9718
0.706315*chem13 - 0.27282*chem15 + 4.03282*chem6 - 85.7261*log(-0.251421*chem2 - 0.103971*chem6 + 2.82598) + 63.7524
1.14619*chem12 + 0.640143*chem13 - 6.07547*chem2 - 184.922*log(-0.137633*chem2 - 0.0679283*chem6 + 2.00872) + 105.437
0.708037*chem13 - 0.276837*chem15 + 4.09368*chem6 - 84.8479*log(-0.419546*chem2 - 0.171922*chem6 + 4.6802) + 105.66
0.870644*chem13 - 0.217089*chem15 - 3.8316*chem2 - 168.615*log(-0.100848*chem2 - 0.0558455*chem6 + 1.53018) + 48.4884
-0.288483*chem15 + 0.240493*chem8 - 169.159*log(-0.00856408*chem13 - 0.204223*chem2 - 0.142503*chem6 + 3.70784) + 191.281
