Equation
4.9685*chem11 + 1.12137*chem13 - 1.08836*chem15 + 16.0212*chem2 + 10.3922*chem6 - 53.686
5.16265*chem11 + 1.158*chem13 - 1.04705*chem15 + 15.982*chem2 + 10.4589*chem6 - 54.1151
5.17914*chem11 + 1.16322*chem13 - 1.0428*chem15 + 15.9789*chem2 + 10.4655*chem6 - 54.1526
5.21011*chem11 + 1.16665*chem13 - 1.04621*chem15 + 15.9852*chem2 + 10.4668*chem6 - 54.175
5.2197*chem11 + 1.1704*chem13 - 1.04417*chem15 + 15.993*chem2 + 10.4778*chem6 - 54.2774
5.17718*chem11 + 1.16199*chem13 - 1.04488*chem15 + 15.9842*chem2 + 10.4653*chem6 - 54.1613
5.18688*chem11 + 1.1661*chem13 - 1.04354*chem15 + 15.984*chem2 + 10.4663*chem6 - 54.1682
5.23307*chem11 + 1.17138*chem13 - 1.04284*chem15 + 15.9883*chem2 + 10.4765*chem6 - 54.254
5.2295*chem11 + 1.17049*chem13 - 1.04471*chem15 + 15.9953*chem2 + 10.4799*chem6 - 54.2989
5.14323*chem11 + 1.15541*chem13 - 1.04804*chem15 + 15.9701*chem2 + 10.4466*chem6 - 54.0137
