Equation
-0.611378*chem15 - 8.25425*chem2 - 198.677*log(-0.0161898*chem13 - 0.304589*chem2 - 0.141056*chem6 + 4.47316) + 279.485
-0.585784*chem15 + 3.63419*chem6 - 91.5843*log(-0.0295063*chem13 - 0.455045*chem2 - 0.210423*chem6 + 5.58278) + 134.314
-0.559069*chem15 - 4.7555*chem2 - 179.503*log(-0.0350125*chem13 - 0.475065*chem2 - 0.264369*chem6 + 7.56371) + 342.609
-0.747662*chem15 - 143.211*log(-0.108287*chem10 - 0.0451166*chem13 - 0.470884*chem2 - 0.350346*chem6 + 8.42201) + 282.336
-0.726627*chem15 - 146.148*log(-0.0530373*chem10 - 0.0231074*chem13 - 0.234664*chem2 - 0.174771*chem6 + 4.23979) + 187.644
-0.713437*chem15 - 148.01*log(-0.0428011*chem10 - 0.0191708*chem13 - 0.190508*chem2 - 0.141804*chem6 + 3.46274) + 159.937
-0.708813*chem15 - 146.595*log(-0.0615862*chem10 - 0.0268604*chem13 - 0.270848*chem2 - 0.201587*chem6 + 4.89842) + 209.29
-0.713547*chem15 - 148.298*log(-0.0630952*chem10 - 0.0280916*chem13 - 0.27929*chem2 - 0.207951*chem6 + 5.08395) + 217.218
-0.707848*chem15 - 147.033*log(-0.0659559*chem10 - 0.0289324*chem13 - 0.290367*chem2 - 0.216023*chem6 + 5.25861) + 220.322
3.19862*chem10 - 0.7471*chem15 - 147.243*log(-0.0293458*chem13 - 0.289947*chem2 - 0.215487*chem6 + 5.20618) + 218.282
