Input,Operators,Correct_level,RMSE,Equation,time
No_noise_all_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",3,0.097822027,=-43.9599*(0.000749349 - 0.200852*chem6)*(0.339808*chem2 + 0.000326833) - 43.9599*(0.634676 - 0.357291*chem10)*(0.0168707*chem13 - 1.56224)*(0.0547486*chem13 + 0.013411) - 0.319297,31395.65575
No_noise_rel_var,"['log:1', 'exp:1', 'sqrt:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2']",2,0.072937625,38.6173*(0.600615 - 0.211568*chem10)*(2.92784 - 1.18933*chem10)*(0.0379322*chem13 + 0.00682297) + 38.6173*(-0.215101*chem2 - 0.00144916)*(-0.360764*chem6 - 0.00155832) - 0.270418,31395.65575
Noise=0.25,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.097123701,=-6.49939*chem2 + 0.124541*chem8 - 199.326*LOG(-0.00370603*chem13 - 0.131872*chem2 - 0.0634937*chem6 + 1.98569) + 111.943,31395.65575
Noise=0.5,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.169860884,1.96935*chem12 - 5.6933*chem2 + 0.277324*chem8 - 186.049*log(-0.176341*chem2 - 0.0891565*chem6 + 2.61857) + 152.709,31395.65575
Noise=0.75,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,2.881665313,2.66288*chem12 - 7.07444*chem2 + 0.245295*chem8 - 191.004*log(-0.213747*chem2 - 0.0981669*chem6 + 3.03177) + 186.463,31395.65575
Noise=1,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.360974008,=-0.130588*chem4 + 4.01173*chem6 - 94.5802*LOG(-0.00772004*chem13 - 0.127336*chem2 - 0.0560061*chem6 + 1.54815) + 14.0161,31395.65575
Noise=1.25,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.077770531,3.43545*chem12 - 0.36815*chem3 + 0.742311*chem8 - 163.845*log(-0.34147*chem2 - 0.219425*chem6 + 5.79) + 254.608,31395.65575
Noise=1.5,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,2.865068102,=-0.585784*chem15 + 3.63419*chem6 - 91.5843*LOG(-0.0295063*chem13 - 0.455045*chem2 - 0.210423*chem6 + 5.58278) + 134.314,31395.65575
Noise=1.75,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.601286672,=-5.46997*chem2 - 6.58131*chem9 - 159.271*LOG(-0.000388342*chem14 - 0.460341*chem2 - 0.234676*chem6 + 6.37177) + 277.4,31395.65575
Noise=2,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.532885809,7.44895*chem11 + 1.58061*chem13 - 1.66298*chem15 - 152.018*log(-0.241019*chem2 - 0.164096*chem6 + 4.15679) + 192.868,31395.65575
No_noise_all_var,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",1,3.127303751,0.565544*chem13 - 7.11819*chem2 + 0.131112*chem8 - 194.496*log(-0.391606*chem2 - 0.182968*chem6 + 5.66322) + 313.409,31395.65575
No_noise_rel_var,"['exp:1', 'squared:1', 'inverse:1', 'linear:1', 'tanh:1', 'gaussian:1', 'gaussian:2', 'multiply:2']",2,3.222086117,=-9.09196*chem2 - 211.13*LOG(-0.00991326*chem13 - 0.415259*chem2 - 0.181208*chem6 + 5.9846) + 356.694,31395.65575
