Equation
20.7649*chem11 + 2.05039*chem13 + 16.9689*chem2 + 11.2363*chem6 - 1.45434*chem8 - 60.3703
20.5*chem11 + 2.03407*chem13 + 16.9715*chem2 + 11.2463*chem6 - 1.44979*chem8 - 60.3768
20.4807*chem11 + 2.03175*chem13 + 16.9584*chem2 + 11.242*chem6 - 1.44922*chem8 - 60.2893
20.4758*chem11 + 2.03571*chem13 + 16.9628*chem2 + 11.2509*chem6 - 1.44989*chem8 - 60.3649
20.4895*chem11 + 2.03152*chem13 + 16.957*chem2 + 11.2397*chem6 - 1.44811*chem8 - 60.2845
20.4273*chem11 + 2.0328*chem13 + 16.9553*chem2 + 11.2509*chem6 - 1.44849*chem8 - 60.3194
20.4373*chem11 + 2.03146*chem13 + 16.9588*chem2 + 11.247*chem6 - 1.44832*chem8 - 60.3116
20.4974*chem11 + 2.02825*chem13 + 16.9461*chem2 + 11.2443*chem6 - 1.44414*chem8 - 60.2931
20.3935*chem11 + 2.03155*chem13 + 16.9665*chem2 + 11.2597*chem6 - 1.44643*chem8 - 60.4133
20.3997*chem11 + 2.03528*chem13 + 16.9546*chem2 + 11.27*chem6 - 1.4486*chem8 - 60.4219
