Equation
2.66007*chem12 - 7.96125*chem2 + 0.239989*chem8 - 198.233*log(-0.112544*chem2 - 0.0494832*chem6 + 1.58291) + 66.1854
2.66288*chem12 - 7.07444*chem2 + 0.245295*chem8 - 191.004*log(-0.213747*chem2 - 0.0981669*chem6 + 3.03177) + 186.463
2.62649*chem12 - 6.81618*chem2 + 0.247938*chem8 - 189.728*log(-0.268422*chem2 - 0.124688*chem6 + 3.82351) + 228.818
2.69441*chem12 - 6.47701*chem2 + 0.255003*chem8 - 185.892*log(-0.113238*chem2 - 0.053599*chem6 + 1.6156) + 63.472
2.69621*chem12 - 5.58578*chem2 + 0.270669*chem8 - 181.423*log(-0.228055*chem2 - 0.112526*chem6 + 3.30768) + 190.395
-0.275884*chem14 - 151.327*log(-0.0122204*chem13 - 0.0024955*chem14 - 0.157289*chem2 - 0.10533*chem6 + 2.68716) + 124.513
2.51969*chem12 - 4.89924*chem2 - 182.61*log(-0.227535*chem2 - 0.116605*chem6 - 0.00321498*chem8 + 3.4313) + 198.38
-4.72881*chem2 + 0.270332*chem8 - 180.608*log(-0.0157453*chem12 - 0.130604*chem2 - 0.0673912*chem6 + 1.95421) + 93.5718
2.44013*chem12 - 4.53088*chem2 - 177.487*log(-0.410977*chem2 - 0.215614*chem6 - 0.00571094*chem8 + 6.19578) + 297.199
-0.269324*chem14 - 135.569*log(-0.0363023*chem13 - 0.00697452*chem14 - 0.451197*chem2 - 0.302885*chem6 + 7.29358) + 246.825
