Equation
8.89148*chem3 - 24.0458*(4.33704 - 0.509684*chem5)*(0.138886*chem13 + 0.138282) + 3.35343
-1.43957*chem4 + 30.0945*(0.125684 - 0.115223*chem5)*(0.824877 - 0.353343*chem3) + 26.3782
8.692*chem3 + 19.3567*(0.799719 - 0.485467*chem10)*(0.621741*chem5 - 4.61944) - 4.47051
8.14641*chem5 + 10.1353*(4.73274 - 0.56254*chem3)*(-0.11252*chem13 - 1.01612) + 8.20429
8.06235*chem5 + 27.6247*(0.203711*chem13 + 2.30943)*(0.0970053*chem3 - 0.860499) + 12.5438
8.14723*chem5 + 7.59281*(2.03515 - 0.241473*chem3)*(-0.357509*chem13 - 3.13272) + 8.24137
8.20306*chem3 + 35.1065*(5.29044 - 0.817824*chem5)*(-0.0219336*chem3 - 0.104642) - 7.92778
8.93896*chem5 + 23.288*(1.21568 - 0.208398*chem3)*(0.0896356*chem4 - 2.15146) - 22.4274
8.83314*chem3 + 25.19*(1.3676 - 0.193363*chem5)*(0.987937*chem10 - 1.94014) - 9.18759
9.49471*chem3 + 28.3918*(0.613032*chem5 - 5.52075)*(0.0909252*chem7 + 0.20745) + 1.68038
