Equation
-8.46827*chem2 + 0.215155*chem8 - 208.413*log(-0.0131838*chem12 - 0.214452*chem2 - 0.0951109*chem6 + 3.09325) + 211.057
1.96935*chem12 - 5.6933*chem2 + 0.277324*chem8 - 186.049*log(-0.176341*chem2 - 0.0891565*chem6 + 2.61857) + 152.709
2.01585*chem12 - 6.26781*chem2 + 0.26561*chem8 - 188.602*log(-0.144261*chem2 - 0.0709591*chem6 + 2.11615) + 115.595
2.42126*chem12 - 0.265943*chem3 + 0.531239*chem8 - 162.099*log(-0.299577*chem2 - 0.199172*chem6 + 5.11723) + 232.59
2.45438*chem12 - 0.265332*chem3 + 0.532404*chem8 - 162.017*log(-0.202381*chem2 - 0.134515*chem6 + 3.4553) + 168.834
2.43648*chem12 - 0.263265*chem3 + 0.53305*chem8 - 162.058*log(-0.253822*chem2 - 0.1687*chem6 + 4.33378) + 205.566
2.44801*chem12 - 0.264871*chem3 + 0.531949*chem8 - 162.062*log(-0.253353*chem2 - 0.168377*chem6 + 4.3264) + 205.331
2.49953*chem12 - 0.265947*chem3 + 0.533497*chem8 - 162.013*log(-0.260568*chem2 - 0.173198*chem6 + 4.44869) + 209.751
2.49359*chem12 - 0.265837*chem3 + 0.533564*chem8 - 161.932*log(-0.187778*chem2 - 0.124777*chem6 + 3.20501) + 156.562
2.48378*chem12 - 0.269424*chem3 + 0.534099*chem8 - 161.956*log(-0.189439*chem2 - 0.125864*chem6 + 3.23305) + 157.981
