Equation
8.41672*chem11 + 1.27232*chem13 - 1.24033*chem15 + 16.0195*chem2 + 10.206*chem6 - 53.3606
8.54557*chem11 + 1.27421*chem13 - 1.24859*chem15 + 15.9818*chem2 + 10.1929*chem6 - 53.161
8.55481*chem11 + 1.27703*chem13 - 1.24474*chem15 + 15.9754*chem2 + 10.1912*chem6 - 53.1336
8.55838*chem11 + 1.27687*chem13 - 1.25342*chem15 + 15.9797*chem2 + 10.1926*chem6 - 53.1288
8.56547*chem11 + 1.28065*chem13 - 1.23962*chem15 + 15.9798*chem2 + 10.1949*chem6 - 53.1772
8.5573*chem11 + 1.27735*chem13 - 1.25144*chem15 + 15.9779*chem2 + 10.1906*chem6 - 53.1244
8.57732*chem11 + 1.28327*chem13 - 1.23823*chem15 + 15.9823*chem2 + 10.1968*chem6 - 53.2041
8.55616*chem11 + 1.27875*chem13 - 1.23532*chem15 + 15.9792*chem2 + 10.1975*chem6 - 53.213
8.57998*chem11 + 1.27787*chem13 - 1.24381*chem15 + 15.9831*chem2 + 10.1981*chem6 - 53.1987
8.58254*chem11 + 1.28807*chem13 - 1.23892*chem15 + 15.9755*chem2 + 10.1948*chem6 - 53.1885
