Equation
-7.16081*(-0.692929*chem10 + 0.0694942*chem15 + 2.91545)*(-0.0840025*chem13 + (0.847332 - 1.28852*chem2)*(0.159261*chem6 - 0.146003) + 1.07808) + 28.7398
-5.89724*(-0.513425*chem10 + 0.0532263*chem15 + 2.1372)*(-0.13746*chem13 + (0.631285 - 0.949512*chem2)*(0.356912*chem6 - 0.329985) + 1.92065) + 30.5451
26.5065*(0.0192114*chem15 + 1.19719)*((3.19427 - 2.77805*chem10)*(0.0740953*chem13 - 0.000128185) + (1.7075*chem2 - 0.906714)*(0.0614362*chem6 - 0.0431559)) + 7.08329
-17.7219*(-0.021094*chem15 - 0.873361)*(0.0978355*chem13 + (0.600744 - 0.703023*chem6)*(0.24978*chem10 - 1.70612)*(0.209592*chem2 - 0.127097) - 0.961331) + 24.1521
-12.4977*(0.016787 - 0.0732281*chem6)*(-1.12411*chem10 + 0.35009*chem13 + (0.0505249*chem15 + 1.12001)*(2.68891*chem2 - 6.90738) + 8.99807) + 3.1053
1.69044*chem13 + 14.4093*(5.39057 - 7.62356*chem10)*(0.198566*chem9 + 0.00926988) + 14.4093*(1.22598*chem2 - 0.0793545)*(0.171289*chem6 - 0.0179715) + 1.81889
1.70482*chem13 - 12.7413*(0.0314929 - 0.561904*chem2)*(0.421821*chem6 - 0.0425429) - 12.7413*(8.59556*chem10 - 6.12584)*(0.208151*chem9 + 0.00703268) + 1.69978
1.43178*chem13 + 21.5749*(0.2972 - 0.52008*chem2)*(0.335132*chem10 - 2.46196)*(0.0209809*chem15 + 1.20794)*(0.116125*chem6 - 0.0873787) + 7.37036
1.43447*chem13 - 28.9205*(0.177136 - 0.234327*chem6)*(0.328765*chem10 - 2.41726)*(-0.00680828*chem15 - 0.39176)*(0.604167*chem2 - 0.346307) + 7.44424
1.79172*chem13 + 13.1765*(0.00626387 - 1.04118*chem2)*(-0.215824*chem6 - 0.003506) + 13.1765*(0.147931 - 0.229678*chem11)*(5.34569 - 7.09525*chem10) + 0.577541
