Equation
0.641846*chem13 - 0.699186*chem15 + 15.4556*chem2 + 10.454*chem6 + 0.629574*chem8 - 55.2735
0.64245*chem13 - 0.652908*chem15 + 15.4572*chem2 + 10.4323*chem6 + 0.586008*chem8 - 54.9777
0.642571*chem13 - 0.652409*chem15 + 15.4492*chem2 + 10.4271*chem6 + 0.58387*chem8 - 54.926
0.641814*chem13 - 0.65114*chem15 + 15.4536*chem2 + 10.4315*chem6 + 0.585591*chem8 - 54.9848
0.643413*chem13 - 0.65422*chem15 + 15.4436*chem2 + 10.4221*chem6 + 0.58466*chem8 - 54.9133
0.642011*chem13 - 0.647451*chem15 + 15.4511*chem2 + 10.4284*chem6 + 0.582206*chem8 - 54.9075
0.642993*chem13 - 0.651102*chem15 + 15.4437*chem2 + 10.4234*chem6 + 0.582082*chem8 - 54.8699
0.643335*chem13 - 0.650432*chem15 + 15.4506*chem2 + 10.4285*chem6 + 0.58209*chem8 - 54.9254
0.643062*chem13 - 0.652693*chem15 + 15.4454*chem2 + 10.4241*chem6 + 0.584305*chem8 - 54.9046
0.642658*chem13 - 0.649057*chem15 + 15.4569*chem2 + 10.4323*chem6 + 0.583878*chem8 - 54.9728
