Equation
13.9332*chem11 + 1.48201*chem13 - 2.07196*chem15 + 15.8545*chem2 + 10.5735*chem6 - 54.0191
14.2694*chem11 + 1.48733*chem13 - 2.0748*chem15 + 15.9473*chem2 + 10.5471*chem6 - 54.3374
14.2447*chem11 + 1.48949*chem13 - 2.07584*chem15 + 15.9413*chem2 + 10.547*chem6 - 54.3006
14.2089*chem11 + 1.4897*chem13 - 2.07736*chem15 + 15.9328*chem2 + 10.5523*chem6 - 54.2727
14.2037*chem11 + 1.49003*chem13 - 2.07749*chem15 + 15.9281*chem2 + 10.5508*chem6 - 54.2513
14.1283*chem11 + 1.48723*chem13 - 2.07889*chem15 + 15.9177*chem2 + 10.5588*chem6 - 54.2104
14.1397*chem11 + 1.4903*chem13 - 2.08098*chem15 + 15.9211*chem2 + 10.5611*chem6 - 54.234
14.1087*chem11 + 1.48862*chem13 - 2.07957*chem15 + 15.9127*chem2 + 10.5645*chem6 - 54.2055
14.3506*chem11 + 1.48326*chem13 - 2.0712*chem15 + 15.9692*chem2 + 10.5395*chem6 - 54.4071
14.4585*chem11 + 1.48655*chem13 - 2.06964*chem15 + 15.9906*chem2 + 10.5229*chem6 - 54.4523
