Equation
1.32497*chem13 - 17.4591*(0.370337*chem10 - 1.00535)*(0.209292*chem6 + 0.10221)*(1.07594*chem2 + 0.163536*exp(2.15373*chem10) - 0.526592) - 6.63826
6.27829*(2.31955 - 0.437278*chem10)*(0.120565*chem13 + (1.45833*chem2 - 0.495991)*(0.182885*chem6 - 0.0495988) - 1.60301 + 5.5644*exp(-0.664515*chem7)) + 22.151
19.8716*(0.0208039 - 0.188299*chem2)*(-0.828296*chem6 + 0.0262934*chem7 - 0.127857) + 50.4498*(0.105824*chem13 + 0.0728139)*exp(-1.82456*chem10) + 0.081971
-25.7397*(-0.221256*chem13 - 0.080602)*exp(-1.8554*chem10) - 17.5608*(0.15443*chem2 + 0.00339492)*(0.743939*chem6 + 0.0436599)*(0.00931179*chem7 - 1.55031) - 1.23673
-18.8866*(-0.283824*chem13 - 0.147895)*exp(-1.76775*chem10) - 17.5252*(0.198984*chem6 - 0.0092837)*(-0.879466*chem2 + 0.0209277*chem7 - 0.0913964) - 0.256955
1.28791*chem13 + 26.4061*(0.11513*chem6 + 0.053294)*(0.674959*chem10 + 0.993225*(1.4431*chem2 - 2.33686)*exp(-0.550251*chem10) + 1.28612) - 6.33053
1.45738*chem13 + 50.2462*(0.0143307 - 0.144993*chem6)*(0.00792759*chem7 + (0.334066*chem10 - 0.97263)*(0.610189*chem2 - 1.6795) - 1.21712) - 0.110379
-45.6509*(0.862428 - 0.142685*chem10)*(0.29129*chem2 - 0.157616)*(-0.0354184*chem13 + (-0.00248623*chem14 - 0.99884)*(0.349804*chem6 - 1.68728) - 1.43784) + 8.87381
1.28438*chem13 - 11.3029*(-0.428979*chem6 - 0.0820786)*(-0.0549564*chem11 + (1.73314 - 0.688408*chem10)*(0.51332*chem2 - 1.41821) + 1.83094) - 3.91065
8.29603*(0.0255948 - 0.420038*chem6)*(-0.883653*chem2 + 0.0173167*chem7 - 0.0657847) + 67.6808*(0.0802452*chem13 + 0.0537415)*exp(-1.92911*chem10) - 0.195182
