Equation
126.909*exp(-2.24881*(1 - 0.104383*chem6)**2*(0.147952*chem12 + 1)**2*(0.0164423*chem13 - 1)**2 - 2.51424*(0.177061*chem2 - 1)**2) + 4.27985
-33.3464*(-0.548817*(0.462259*chem6 - 3.03862)*tanh(1.20293*chem12 + 0.987993) - 1.20554)*(0.0253757*chem15 + 0.534521*chem2 - 0.57798) + 15.5085
-7.86884*chem12 + 123.768*exp(-2.5193*(1 - 0.108245*chem6)**2*(0.0138253*chem13 - 1)**2 - 2.35401*(0.171899*chem2 - 1)**2) + 6.81472
63.9122*(0.263637*chem6 - 0.349203)*exp(-4.7475*(1 - 0.176878*chem7)**2*(chem12 - 0.270215)**2 - 3.33303*(0.174673*chem2 - 1)**2) + 18.5484
-10.517 + 127.933*exp(-2.0*((0.138617*chem12 - 0.200375*chem6 + 0.0383581)*tanh(0.134795*chem2 - 0.0772828) - tanh(0.00889934*chem4 - 1.63685))**2)
40.5584*(0.0564432 - 0.992079*exp(-0.270065*(1 - 0.168722*chem7)**2*(0.769427*chem12 + 1)**2 - 2.92654*(0.184558*chem2 - 1)**2))*(0.478813 - 0.422237*chem6) + 16.1247
0.531913*chem13 + 47.8822*(-0.288082*chem12 + 0.975762*chem2 - 0.440131)*exp(-5.88948/(0.255612*chem6 + 1)**2) + 10.7192
141.769*exp(-2.25881*(1 - 0.0150784*chem13)**2*(1 - 0.104616*chem6)**2*(-0.144183*chem12 - 1)**2 - 3.12019*(0.109179*chem2 - 1)**4) + 4.05324
124.764 - 112.662*exp(-0.00164399*(0.234358 - chem2)**2*(0.35961 - chem6)**2*(-0.0307661*chem9 - 1)**2 - 0.127847*(1 - 0.585038*chem12)**2)
123.531*(-0.0413614*chem11 - 1.05353)*exp(-0.109888*(0.748624*chem12 - 1)**2 - 2.0*exp(-3.8633*(1 - 0.16113*chem2)**2 - 3.97496*(0.10258*chem6 - 1)**2)) + 140.115
