Equation
-53.2047*(0.0076587 - 0.203628*chem6)*(0.279179*chem2 - 0.00402841) - 53.2047*(0.204596 - 0.29846*chem13)*(4.8824*chem10 - 5.26356)*(-0.00112054*chem14 - 0.0372601) + 1.28005
30.1742*(1.22371 - 1.78035*chem13)*(1.02243*chem10 - 1.09842)*(0.00164801*chem14 + 0.0512568) + 30.1742*(0.202255*chem2 - 0.0019767)*(0.49546*chem6 - 0.0152923) + 1.20506
31.0077*(0.515764 - 0.752328*chem13)*(1.50417 - 1.39978*chem10)*(-0.00276468*chem14 - 0.0867825) + 31.0077*(1.3248*chem2 - 0.0115177)*(0.073581*chem6 - 0.00218995) + 1.18446
21.2766*(0.336863 - 0.491181*chem13)*(2.73729 - 2.54819*chem10)*(-0.00341445*chem14 - 0.105814) + 21.2766*(1.23355*chem2 - 0.0095069)*(0.115183*chem6 - 0.0032565) + 1.1632
-15.6243*(0.0059852 - 0.223255*chem6)*(0.866568*chem2 - 0.0059269) - 15.6243*(2.61441 - 2.43035*chem10)*(1.14817*chem13 - 0.790671)*(-0.00207563*chem14 - 0.0637833) + 1.15112
18.7551*(2.29884*chem10 - 2.47566)*(1.50319*chem13 - 1.04001)*(-0.00137104*chem14 - 0.0416515) + 18.7551*(1.20128*chem2 - 0.00827657)*(0.134096*chem6 - 0.00350334) + 1.16105
-88.8194*(0.00255151 - 0.0852559*chem6)*(0.399802*chem2 - 0.00358344) - 88.8194*(0.0330581*chem13 - 0.0216903)*(1.09858*chem10 - 0.00496991*chem14 - 1.17813) + 1.05221
21.6309*(0.00288013 - 0.838576*chem2)*(0.00397276 - 0.166862*chem6) + 21.6309*(0.0533841 - 0.0804562*chem13)*(1.82992*chem10 - 0.00798382*chem14 - 1.96845) + 0.974709
-16.5473*(0.0093325 - 0.408011*chem6)*(0.448297*chem2 - 0.00136391) - 16.5473*(0.0499247 - 0.0755957*chem13)*(-2.55807*chem10 + 0.0108927*chem14 + 2.75203) + 0.949379
-44.017*(0.162785*chem12 + 0.0865231)*(0.698222*chem13 - 0.381096)*(-0.00137157*chem14 - 0.16523) - 44.017*(-0.494066*chem2 - 0.0504192)*(0.135835*chem6 + 0.00901004) - 0.419474
