Equation
-0.0785883*chem15 - 39.1642*(1.34091*chem10 - 2.295)*(0.0264996*chem13 + 0.0120973) - 39.1642*(-0.281572*chem2 - 0.0281731)*(0.26515*chem6 + 0.0366261) - 1.94614
-0.0800106*chem15 - 17.7965*(1.94524*chem10 - 3.26442)*(0.0419359*chem13 + 0.0160706) - 17.7965*(-1.03129*chem2 - 0.0870985)*(0.15977*chem6 + 0.0191306) - 1.59391
-0.0764389*chem15 - 28.0278*(1.34314*chem10 - 2.26294)*(0.0383722*chem13 + 0.0154088) - 28.0278*(0.259054*chem2 + 0.0221762)*(-0.403678*chem6 - 0.0489304) - 1.62222
1.14994*chem13 - 13.6542*(-0.726504*chem6 - 0.0660686)*(0.297818*chem2 + (0.105497 - 0.150468*chem10)*(0.0353795*chem15 + 0.20239) + 0.0292913) - 1.32744
-14.78*(0.617127*chem10 - 1.0654)*(0.150402*chem13 + 0.0702263) - 14.78*(0.339282*chem6 + 0.0359363)*(0.0025662*chem15 - 0.586038*chem2 - 0.0539469) - 1.80145
-0.0307268*chem3 - 32.1337*(1.2075 - 0.737907*chem10)*(-0.0636035*chem13 - 0.027204) - 32.1337*(0.482226*chem2 + 0.0243965)*(-0.191196*chem6 - 0.0174123) - 1.35089
1.14407*chem13 + 32.9939*(-0.122432*chem6 - 0.00798977)*(0.100249*chem10 + 0.00249712*chem15 - 0.7361*chem2 - 0.127635) - 0.963734
-26.9712*(2.04109*chem10 - 3.47466)*(0.0253818*chem13 + 0.0125715) - 26.9712*(0.000903496*chem15 - 0.907688)*(-1.15398*chem2 - 0.0944762)*(-0.104254*chem6 - 0.0119117) - 1.88698
1.14271*chem13 - 21.7604*(-0.288144*chem6 - 0.0186686)*(-0.064267*chem10 - 0.0015556*chem15 + 0.474082*chem2 + 0.0816532) - 0.943578
1.14319*chem13 + 28.4094*(0.181916*chem6 + 0.0118246)*(-0.0783176*chem10 - 0.00199717*chem15 + 0.575289*chem2 + 0.100008) - 0.957597
