Equation
-31.3345*(0.26787 - 0.377804*chem6)*(0.290972*chem2 - 0.143266) - 13.0257*(-0.372653*chem13 - 0.218938*chem5 + 0.486002)*exp(-1.95259*chem10) + 7.52786
0.989687*chem5 - 6.24919*(0.564348 - 1.10219*chem2)*(0.49736*chem6 - 0.400251) - 21.9357*(-0.223187*chem13 - 0.139608)*exp(-1.92292*chem10) + 5.44261
6.98091*(0.316904*chem2 - 0.205472)*(1.64982*chem6 - 1.78786) + 8.60517*(0.43025*chem13 + 0.270558*chem5 - 0.217448)*exp(-1.36618*chem10) + 9.29605
0.94902*chem5 - 9.77165*(1.0382 - 1.1171*chem6)*(0.322376*chem2 - 0.191079) - 12.9687*(-0.342285*chem13 - 0.288347)*exp(-1.71022*chem10) + 6.36408
0.914231*chem5 + 10.0836*(0.199564 - 0.215998*chem6)*(1.01087 - 1.62872*chem2) + 37.328*(0.122853*chem13 + 0.088668)*exp(-1.75292*chem10) + 6.79368
-44.8666*(0.126063*chem6 - 0.0643188)*(-0.576381*chem2 + 1.4172*(-0.0601043*chem13 - 0.104076)*(0.0565545*chem7 - 0.0880789)*exp(0.103275*chem13) + 0.240806) + 6.10083
15.3873*(0.506886*chem6 - 0.262518)*(0.418293*chem2 - 0.0180094*chem7 + 0.151934*(0.158677*chem7 - 0.176082)*exp(0.167338*chem13) - 0.162714) + 6.19459
-37.8229*(0.049339 - 0.0927283*chem6)*(0.933986*chem2 + (0.158011 - 0.122941*chem7)*(0.0362441*chem13 + 0.91637)*log(0.881016 - 0.069359*chem13) - 0.417517) + 6.33497
-21.7957*(0.111131 - 0.224337*chem6)*(0.665305*chem2 + (0.631952*chem7 - 0.972521)*(0.00539319*chem9 - 0.142358)*log(0.914318 - 0.0812238*chem13) - 0.278665) + 6.10494
0.9273*chem5 - 20.5418*(0.207513 - 0.248064*chem6)*(0.684414*chem2 - 0.374793) - 8.51785*sqrt(0.78088 - chem10)*(-0.415806*chem13 - 0.394096) + 5.48699
