Equation
6.07806*chem10 + 2.06681*chem13 + 0.0890978*chem14 + 14.9375*chem2 + 11.0586*chem6 - 60.8119
6.01923*chem10 + 2.08014*chem13 + 0.0886339*chem14 + 14.898*chem2 + 11.069*chem6 - 60.6247
6.03886*chem10 + 2.08249*chem13 + 0.0884274*chem14 + 14.8779*chem2 + 11.0607*chem6 - 60.5342
6.0106*chem10 + 2.08106*chem13 + 0.0887681*chem14 + 14.9107*chem2 + 11.0773*chem6 - 60.7048
6.01941*chem10 + 2.08057*chem13 + 0.0887032*chem14 + 14.9028*chem2 + 11.0738*chem6 - 60.6604
6.01564*chem10 + 2.07875*chem13 + 0.0888056*chem14 + 14.9107*chem2 + 11.0785*chem6 - 60.6933
6.02148*chem10 + 2.08028*chem13 + 0.0887685*chem14 + 14.9087*chem2 + 11.077*chem6 - 60.7028
6.02574*chem10 + 2.08007*chem13 + 0.0887752*chem14 + 14.9092*chem2 + 11.0782*chem6 - 60.6937
6.02523*chem10 + 2.0818*chem13 + 0.0886179*chem14 + 14.901*chem2 + 11.0738*chem6 - 60.6616
6.01899*chem10 + 2.08135*chem13 + 0.088714*chem14 + 14.9092*chem2 + 11.0789*chem6 - 60.7071
