Equation
-6.02361*chem10 + 1.16442*chem13 + 16.1217*chem2 - 0.60332*chem4 + 11.3294*chem6 - 52.4368
-6.04867*chem10 + 1.18076*chem13 + 16.1607*chem2 - 0.596945*chem4 + 11.3349*chem6 - 52.6245
-6.0585*chem10 + 1.18152*chem13 + 16.1688*chem2 - 0.596519*chem4 + 11.3408*chem6 - 52.681
-6.05028*chem10 + 1.18116*chem13 + 16.1658*chem2 - 0.597034*chem4 + 11.3395*chem6 - 52.6643
-6.02525*chem10 + 1.1833*chem13 + 16.1594*chem2 - 0.596151*chem4 + 11.3361*chem6 - 52.6603
-6.04642*chem10 + 1.18104*chem13 + 16.1639*chem2 - 0.596502*chem4 + 11.3361*chem6 - 52.6329
-6.04834*chem10 + 1.18544*chem13 + 16.1633*chem2 - 0.595717*chem4 + 11.3378*chem6 - 52.6692
-6.06513*chem10 + 1.18268*chem13 + 16.1731*chem2 - 0.596849*chem4 + 11.3415*chem6 - 52.6904
-6.06151*chem10 + 1.18662*chem13 + 16.1667*chem2 - 0.596493*chem4 + 11.3394*chem6 - 52.6724
-6.06055*chem10 + 1.18164*chem13 + 16.1703*chem2 - 0.597518*chem4 + 11.3414*chem6 - 52.658
