Equation
-7.95766*chem10 + 0.837688*chem13 + 16.3883*chem2 + 11.0421*chem6 + 0.426418*chem8 - 56.1942
-7.93385*chem10 + 0.841827*chem13 + 16.3469*chem2 + 10.9821*chem6 + 0.433097*chem8 - 55.7912
-7.9894*chem10 + 0.837151*chem13 + 16.331*chem2 + 10.9626*chem6 + 0.432616*chem8 - 55.5618
-7.97758*chem10 + 0.837478*chem13 + 16.3225*chem2 + 10.9604*chem6 + 0.432563*chem8 - 55.5363
-7.97255*chem10 + 0.840092*chem13 + 16.3376*chem2 + 10.9687*chem6 + 0.433259*chem8 - 55.6467
-7.96479*chem10 + 0.840953*chem13 + 16.3337*chem2 + 10.9667*chem6 + 0.432547*chem8 - 55.6141
-7.98249*chem10 + 0.838127*chem13 + 16.3277*chem2 + 10.9601*chem6 + 0.433363*chem8 - 55.5524
-7.9825*chem10 + 0.838002*chem13 + 16.3284*chem2 + 10.962*chem6 + 0.432985*chem8 - 55.5681
-7.96981*chem10 + 0.841879*chem13 + 16.347*chem2 + 10.9739*chem6 + 0.435021*chem8 - 55.7299
-7.96874*chem10 + 0.839654*chem13 + 16.3318*chem2 + 10.9631*chem6 + 0.434341*chem8 - 55.6094
