Equation
5.92065*chem10 + 1.88126*chem13 + 0.0921787*chem14 + 14.4899*chem2 + 11.2548*chem6 - 60.7401
5.89018*chem10 + 1.8543*chem13 + 0.0929169*chem14 + 14.5201*chem2 + 11.2969*chem6 - 61.0171
5.89083*chem10 + 1.85418*chem13 + 0.0927411*chem14 + 14.5062*chem2 + 11.2848*chem6 - 60.9096
5.89305*chem10 + 1.85523*chem13 + 0.092887*chem14 + 14.5167*chem2 + 11.2956*chem6 - 61.0083
5.88762*chem10 + 1.85242*chem13 + 0.092671*chem14 + 14.5069*chem2 + 11.2835*chem6 - 60.8985
5.89562*chem10 + 1.85377*chem13 + 0.0926431*chem14 + 14.5042*chem2 + 11.2814*chem6 - 60.8863
5.88538*chem10 + 1.85067*chem13 + 0.0926919*chem14 + 14.5037*chem2 + 11.2816*chem6 - 60.8825
5.88965*chem10 + 1.85203*chem13 + 0.0928252*chem14 + 14.5132*chem2 + 11.2892*chem6 - 60.9568
5.87972*chem10 + 1.84936*chem13 + 0.0927007*chem14 + 14.5063*chem2 + 11.2831*chem6 - 60.8913
5.89849*chem10 + 1.85464*chem13 + 0.0928592*chem14 + 14.5123*chem2 + 11.2904*chem6 - 60.956
