Equation
25.6424*(0.11128*chem12 - 1.28575)*(-0.126012*chem6 - 0.00919124)*(0.0354937*chem13 + 0.679455*chem2 - 0.00268167*chem7 + 0.217399) + 1.08697
-36.3299*(0.121759 - 0.205305*chem6)*(0.294342 - 0.0206161*chem12)*(1.43349*chem2 + 0.0271296*chem5 + 1.28963*sqrt(0.174356*chem13 + 1) - 1.52558) + 8.07244
1.28107*chem13 - 0.140274*chem8 + 25.1693*(0.0734467 - 0.164036*chem6)*(-0.731929*chem2 - 0.0671916) + 4.76913
-14.0682*(0.0450555 - 0.53181*chem2)*(0.0238993*chem13 + (0.515493*chem6 - 1.85893)*(0.0140983*chem8 + 0.686639) + 1.34114) + 4.96785
38.3161*(0.0230865 - 0.773911*chem2)*(0.01537*chem13 + 1.2876)*(-0.000558018*chem14 - 0.430791)*(0.177427*chem6 - 0.0615011) + 6.57412
1.2657*chem13 + 26.4704*(0.116171 - 0.702498*chem2)*(0.0528845*chem2 - 2.36857)*(0.0810661*chem6 - 0.0196551) + 1.17015
5.25861*chem11 + 24.0625*(0.0911988 - 0.139507*chem6)*(0.405376 - 1.01423*chem2)*(0.00950846*chem13 + 0.967662) + 8.39652
45.3383*(0.0209557*chem13 + 1.89782)*(0.208492*chem2 + 0.0249358)*(0.163086*chem6 - 0.0335638) + 3.30019
1.16886*chem13 + 10.5334*chem2 + 9.61043*(2.05736*chem2 - 0.434453)*(0.164062*chem6 - 0.653642) + 5.61411
-5.42303*(1.07228 - 0.685737*chem6)*(1.09224*chem2 - 1.11705) - 5.42303*(1.79946 - 2.28436*chem10)*(0.308987*chem3 - 3.28553) + 19.7454
