Equation
1.78608*chem13 - 30.2147*(0.400429*chem2 - 0.0762234)*(0.04464*chem10 - 0.260646*chem6 + 0.00474028*chem8 + 0.0015954) + 2.5754
1.79117*chem13 + 31.1715*(0.0393714 - 0.204799*chem2)*(0.0845429*chem10 - 0.494202*chem6 + 0.00919669*chem8 + 0.00324769) + 2.59492
1.78923*chem13 + 35.6268*(0.199091*chem2 - 0.0383786)*(-0.0754958*chem10 + 0.444463*chem6 - 0.00820929*chem8 - 0.00401494) + 2.66821
-30.5978*(0.23086 - 0.722084*chem13)*(2.20792 - 1.64308*chem10)*(0.0162263*chem5 + 0.0497743) - 30.5978*(-0.307866*chem2 - 0.000225216)*(0.318802*chem6 - 0.0118949) + 0.14989
1.76279*chem13 - 29.9078*(-0.0301816*chem10 + 0.300107*chem2 - 0.0252816)*(-0.35*chem6 + 0.00594675*chem8 + 0.0556196) + 2.42077
1.72752*chem13 + 13.4503*(0.0406662 - 0.221832*chem2)*(0.0531683*chem10 - 1.89121)*(0.572268*chem6 - 0.00966569*chem8 - 0.0928255) + 2.58943
1.72872*chem13 + 13.9911*(0.428452*chem2 - 0.0634278)*(0.00543969*chem1 + 0.52257*chem6 - 0.0108616*chem8 - 0.0635294) + 1.68295
21.7109*(0.595867 - 0.227577*chem13)*(0.377556*chem12 - 0.529465)*(0.202769*chem13 + 0.440281) + 21.7109*(-0.846581*chem2 - 0.0577357)*(-0.159947*chem6 - 0.0284227) + 1.17693
1.80994*chem13 - 32.602*(0.0256162 - 0.145837*chem2)*(0.00234191*chem1 + 1.12423)*(0.586204*chem6 - 0.0111143*chem8 - 0.0834609) + 2.13888
1.72828*chem13 + 8.41723*(0.101789*chem10 - 1.03424*chem2 + 0.083732)*(-0.360019*chem6 + 0.0059136*chem8 + 0.0539189) + 2.3601
